id;neighborhood
06040805;Fischerhüttenstraße
06040806;Fischtal
06040807;Zehlendorf Eiche
06040808;Hüttenweg
06040809;Thielallee
06040810;Dahlem
07010101;Wittenbergplatz/Viktoria-Luise-Platz
07010102;Nollendorfplatz
07010103;Barbarossaplatz
07010104;Dennewitzplatz
07020201;Bayerischer Platz
07020202;Volkspark (Rudolf-Wilde-Park)
07020203;Kaiser-Wilhelm-Platz
07020204;Schöneberger Insel
07030301;Friedenau
07030302;Ceciliengärten
07030303;Grazer Platz
07040401;Neu-Tempelhof
07040402;Lindenhofsiedlung
07040403;Manteuffelstraße
07040404;Marienhöhe
07040405;Rathaus Tempelhof
07040406;Germaniagarten
07050501;Rathausstraße
07050502;Fritz-Werner-Straße
07050503;Eisenacher Straße
07050504;Imbrosweg
07050505;Hundsteinweg
07050506;Birnhornweg
07060601;Marienfelder Allee Nordwest
07060602;Kirchstraße
07060603;Marienfelde Nordost
07060604;Marienfelde Süd
07070701;Kettinger Straße/Schillerstraße
07070702;Alt-Lichtenrade/Töpchiner Weg
07070703;John-Locke-Straße
07070704;Nahariyastraße
07070705;Franziusweg/Rohrbachstraße
07070706;Horstwalder Straße/Paplitzer Straße
07070707;Wittelsbacherstraße
08010115;Hasenheide
08010116;Wissmannstraße
08010117;Schillerpromenade
08010118;Silbersteinstraße
08010211;Flughafenstraße
08010212;Rollberg
08010213;Körnerpark
08010214;Glasower Straße
08010301;Reuterkiez
08010302;Bouchéstraße
08010303;Donaustraße
08010404;Rixdorf
08010405;Hertzbergplatz
08010406;Treptower Straße Nord
08010407;Gewerbegebiet Ederstraße
08010508;Weiße Siedlung
08010509;Schulenburgpark
08010510;Gewerbegebiet Köllnische Heide
08020619;Buschkrugallee Nord
08020620;Tempelhofer Weg
08020621;Mohriner Allee Nord
08020622;Parchimer Allee
08020623;Ortolanweg
08020624;Britzer Garten
08020625;Handwerker-Siedlung
08020726;Buckow West
08020727;Buckow Mitte
08020728;Buckow Ost
08030829;Gropiusstadt Nord
08030830;Gropiusstadt Süd
08030831;Gropiusstadt Ost
08040932;Goldhähnchenweg
08040933;Vogelviertel Süd
08040934;Vogelviertel Nord
08041035;Blumenviertel
08041036;Zittauer Straße
08041037;Alt-Rudow
08041038;Waßmannsdorfer Chaussee
08041039;Frauenviertel
08041040;Waltersdorfer Chaussee Ost
09010101;Elsenstraße
09010102;Am Treptower Park Nord
09010201;Am Treptower Park Süd
09010202;Köpenicker Landstraße
09010301;Baumschulenstraße
09010302;Späthsfelde
09010401;Johannisthal West
09010402;Johannisthal Ost
09020501;Oberschöneweide West
09020502;Oberschöneweide Ost
09020601;Schnellerstraße
09020602;Oberspree
09020701;Adlershof West
09020702;Adlershof Ost
09020801;Spindlersfeld
09020802;Köllnische Vorstadt
09030901;Dorf Altglienicke
09030902;Wohngebiet II
09030903;Kölner Viertel
09031001;Bohnsdorf
09031101;Grünau
09031201;Karolinenhof
09031202;Schmöckwitz/Rauchfangswerder
09041301;Kietzer Feld/Nachtheide
09041302;Wendenschloß
09041401;Allende I
09041402;Siedlung Kämmereiheide
09041403;Allende II
09041501;Altstadt Kietz
09041601;Müggelheim
09051701;Hirschgarten
09051702;Bölschestraße
09051801;Rahnsdorf/Hessenwinkel
09051901;Dammvorstadt
09052001;Köpenick Nord
10010101;Marzahn West
10010102;Havemannstraße
10010203;Gewerbegebiet Bitterfelder Straße
10010204;Wuhletalstraße
10010205;Marzahn Ost
10010206;Ringkolonnaden
10010207;Marzahner Promenade
10010308;Marzahner Chaussee
10010309;Springpfuhl
10010310;Alt-Marzahn
10010311;Landsberger Tor
10020412;Alte Hellersdorfer Straße
10020413;Gut Hellersdorf
10020414;Helle Mitte
10020415;Hellersdorfer Promenade
10020416;Böhlener Straße
10020517;Adele-Sandrock-Straße
10020518;Schleipfuhl
10020519;Boulevard Kastanienallee
10020620;Kaulsdorf Nord II
10020621;Gelbes Viertel
10020622;Kaulsdorf Nord I
10020623;Rotes Viertel
10030724;Oberfeldstraße
10030725;Buckower Ring
10030726;Alt-Biesdorf
10030727;Biesdorf Süd
10040828;Kaulsdorf Nord
10040829;Alt-Kaulsdorf
10040830;Kaulsdorf Süd
10040931;Mahlsdorf Nord
10040932;Alt-Mahlsdorf
10040933;Mahlsdorf Süd
11010101;Dorf Malchow
11010102;Dorf Wartenberg
11010103;Dorf Falkenberg
11010204;Falkenberg Ost
11010205;Falkenberg West
11010206;Wartenberg Süd
11010207;Wartenberg Nord
11010308;Zingster Straße Ost
11010309;Zingster Straße West
11010310;Mühlengrund
11020411;Malchower Weg
11020412;Hauptstraße
11020513;Orankesee
11020514;Große-Leege-Straße
11020515;Landsberger Allee
11020516;Weiße Taube
11030617;Hohenschönhausener Straße
11030618;Fennpfuhl West
11030619;Fennpfuhl Ost
11030720;Herzbergstraße
11030721;Rüdigerstraße
11030824;Frankfurter Allee Süd
11040925;Victoriastadt
11040926;Weitlingstraße
11041022;Rosenfelder Ring
11041023;Gensinger Straße
11041027;Tierpark
11041128;Sewanstraße
11051229;Rummelsburg
11051330;Karlshorst West
11051331;Karlshorst Nord
11051332;Karlshorst Süd
12103115;Breitkopfbecken
12103116;Hausotterplatz
12103117;Letteplatz
12103218;Teichstraße
12103219;Schäfersee
12103220;Humboldtstraße
12214125;Waldidyll/Flughafensee
12214126;Tegel Süd
12214421;Reinickes Hof
12214422;Klixstraße
12214423;Mellerbogen
12214424;Scharnweberstraße
12214527;Alt-Tegel
12214528;Tegeler Forst
12224229;Konradshöhe/Tegelort
12224230;Heiligensee
12231101;Hermsdorf
12231102;Frohnau
12301203;Wittenau Süd
12301204;Wittenau Nord
12301205;Waidmannslust
12301206;Lübars
12302107;Schorfheidestraße
12302108;Märkisches Zentrum
12302109;Treuenbrietzener Straße
12302110;Dannenwalder Weg
12302211;Lübarser Straße
12302212;Rollbergesiedlung
12304313;Borsigwalde
12304314;Ziekowstraße/Freie Scholle
